geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730005003,5003,6285060.93542315,1856818.717446739,102373,149742,30.3,844,47.0,64.0,843.0
060730006001,6001,6285201.036137731,1855836.6110237401,86435,113098,37.5,755,29.0,960.0,0.0
060730006002,6002,6283543.491977756,1855216.9965329177,102154,121947,29.5,957,29.0,51.0,0.0
060730006003,6003,6284937.900405211,1853976.1906472477,108360,152027,36.1,1450,393.0,896.0,17862.0
060730007001,7001,6283722.626751219,1852053.0605091276,100298,114196,29.4,1359,68.0,115.0,4989.0
060730007002,7002,6285234.101709534,1852416.7423911865,103454,113630,24.3,1657,98.0,139.0,7413.0
060730007003,7003,6285233.126222463,1851166.8287212383,85280,119614,41.0,1042,34.0,46.0,337.0
060730008001,8001,6288001.6257588,1852750.342979882,110866,117418,17.4,603,26.0,22.0,843.0
060730008002,8002,6288056.676721677,1851619.4595224743,130158,179541,24.2,572,10.0,12.0,0.0
060730008003,8003,6287078.583931762,1851111.93606761,108271,145596,28.5,1290,16.0,6.0,0.0
060730008004,8004,6286709.449399643,1852911.125732982,50215,66145,41.3,1386,34.0,41.0,1461.0
060730008005,8005,6286719.240329727,1852170.2072019973,56821,73619,32.1,1110,29.0,54.0,0.0
060730009011,9011,6288019.736409177,1855188.3783911853,95514,117801,32.4,1337,44.0,83.0,6236.0
060730009012,9012,6288391.666358074,1853945.1896634877,83011,90756,27.4,984,104.0,160.0,3835.0
060730009013,9013,6287632.151421476,1853950.1747425154,82586,103463,28.4,805,10.0,15.0,0.0
060730009021,9021,6286664.402625288,1853612.980646919,24846,64499,51.3,866,21.0,30.0,1155.0
060730009022,9022,6286666.220716734,1854290.8935427275,85125,98176,23.1,708,49.0,56.0,337.0
060730009023,9023,6286670.015638015,1855193.3738270635,61608,82121,31.6,885,63.0,124.0,3154.0
060730010001,10001,6287653.6521857185,1858756.5261038544,81344,116124,34.3,1262,103.0,165.0,3051.0
060730010002,10002,6287458.125572711,1857490.4079086962,84321,114162,31.4,1171,30.0,46.0,450.0
